기준년도,학교명,캠퍼스구분,학교종류,설립구분,지역,재학생수,기숙사실수,기숙사수용인원,기숙사지원자수,기숙사경쟁률,기숙사수용률
2008,감리교신학대학교,본교,대학교,사립,서울,865.0,150,300,0.0,0.0,34.7
2008,강서대학교,본교,대학교,사립,서울,902.0,30,85,0.0,0.0,9.4
2008,건국대학교,본교,대학교,사립,서울,15894.0,1319,2695,0.0,0.0,17.0
2008,경희대학교,본교,대학교,사립,서울,13968.0,627,1417,0.0,0.0,10.1
2008,고려대학교,본교,대학교,사립,서울,25256.0,643,1405,0.0,0.0,5.6
2008,광운대학교,본교,대학교,사립,서울,8420.0,32,150,0.0,0.0,1.8
2008,국민대학교,본교,대학교,사립,서울,13563.0,210,828,0.0,0.0,6.1
2008,덕성여자대학교,본교,대학교,사립,서울,5808.0,228,352,0.0,0.0,6.1
2008,동국대학교,본교,대학교,사립,서울,12834.0,115,508,0.0,0.0,4.0
2008,동덕여자대학교,본교,대학교,사립,서울,7018.0,0,0,0.0,0.0,0.0
2008,삼육대학교,본교,대학교,사립,서울,4940.0,272,1334,0.0,0.0,27.0
2008,상명대학교,본교,대학교,사립,서울,6690.0,0,0,0.0,0.0,0.0
2008,서강대학교,본교,대학교,사립,서울,9241.0,88,336,0.0,0.0,3.6
2008,서경대학교,본교,대학교,사립,서울,5982.0,0,0,0.0,0.0,0.0
2008,서울기독대학교,본교,대학교,사립,서울,723.0,28,103,0.0,0.0,14.2
2008,서울여자대학교,본교,대학교,사립,서울,7435.0,156,468,0.0,0.0,6.3
2008,서울한영대학교,본교,대학교,사립,서울,498.0,0,0,0.0,0.0,0.0
2008,성공회대학교,본교,대학교,사립,서울,2305.0,0,0,0.0,0.0,0.0
2008,성균관대학교,본교,대학교,사립,서울,22356.0,1158,2698,0.0,0.0,12.1
2008,성신여자대학교,본교,대학교,사립,서울,8637.0,52,185,0.0,0.0,2.1
2008,세종대학교,본교,대학교,사립,서울,11300.0,45,132,0.0,0.0,1.2
2008,숙명여자대학교,본교,대학교,사립,서울,11069.0,65,130,0.0,0.0,1.2
2008,숭실대학교,본교,대학교,사립,서울,13848.0,116,270,0.0,0.0,1.9
2008,연세대학교,본교,대학교,사립,서울,25048.0,1451,2648,0.0,0.0,10.6
2008,이화여자대학교,본교,대학교,사립,서울,20983.0,832,1441,0.0,0.0,6.9
2008,장로회신학대학교,본교,대학교,사립,서울,1225.0,194,761,0.0,0.0,62.1
2008,중앙대학교,본교,대학교,사립,서울,15994.0,242,705,0.0,0.0,4.4
2008,총신대학교,본교,대학교,사립,서울,1910.0,80,311,0.0,0.0,16.3
2008,추계예술대학교,본교,대학교,사립,서울,1274.0,0,0,0.0,0.0,0.0
2008,한국성서대학교,본교,대학교,사립,서울,702.0,38,115,0.0,0.0,16.4
2008,한국외국어대학교,본교,대학교,사립,서울,9431.0,323,712,0.0,0.0,7.5
2008,한성대학교,본교,대학교,사립,서울,4470.0,56,100,0.0,0.0,2.2
2008,한양대학교,본교,대학교,사립,서울,19674.0,498,1197,0.0,0.0,6.1
2008,홍익대학교,본교,대학교,사립,서울,12877.0,126,624,0.0,0.0,4.8
2009,감리교신학대학교,본교,대학교,사립,서울,878.0,150,300,0.0,0.0,34.2
2009,강서대학교,본교,대학교,사립,서울,1370.0,30,85,0.0,0.0,6.2
2009,건국대학교,본교,대학교,사립,서울,16742.0,1350,2497,0.0,0.0,14.9
2009,경희대학교,본교,대학교,사립,서울,14285.0,673,1538,0.0,0.0,10.8
2009,고려대학교,본교,대학교,사립,서울,25778.0,683,2303,0.0,0.0,8.9
2009,광운대학교,본교,대학교,사립,서울,8868.0,32,162,0.0,0.0,1.8
2009,국민대학교,본교,대학교,사립,서울,14639.0,226,894,0.0,0.0,6.1
2009,덕성여자대학교,본교,대학교,사립,서울,5875.0,228,352,0.0,0.0,6.0
2009,동국대학교,본교,대학교,사립,서울,14373.0,125,538,0.0,0.0,3.7
2009,동덕여자대학교,본교,대학교,사립,서울,7495.0,0,0,0.0,0.0,0.0
2009,삼육대학교,본교,대학교,사립,서울,5148.0,272,1334,0.0,0.0,25.9
2009,서강대학교,본교,대학교,사립,서울,9411.0,533,1230,0.0,0.0,13.1
2009,서경대학교,본교,대학교,사립,서울,6444.0,0,0,0.0,0.0,0.0
2009,서울기독대학교,본교,대학교,사립,서울,776.0,28,103,0.0,0.0,13.3
2009,서울여자대학교,본교,대학교,사립,서울,7751.0,245,969,0.0,0.0,12.5
2009,서울한영대학교,본교,대학교,사립,서울,756.0,0,0,0.0,0.0,0.0
2009,성공회대학교,본교,대학교,사립,서울,2400.0,13,0,0.0,0.0,0.0
2009,성균관대학교,본교,대학교,사립,서울,13115.0,326,973,0.0,0.0,7.4
2009,성신여자대학교,본교,대학교,사립,서울,10425.0,52,215,0.0,0.0,2.1
2009,세종대학교,본교,대학교,사립,서울,11817.0,117,249,0.0,0.0,2.1
2009,숙명여자대학교,본교,대학교,사립,서울,11340.0,377,716,0.0,0.0,6.3
2009,숭실대학교,본교,대학교,사립,서울,14177.0,116,270,0.0,0.0,1.9
2009,연세대학교,본교,대학교,사립,서울,25737.0,1250,2648,0.0,0.0,10.3
2009,이화여자대학교,본교,대학교,사립,서울,19296.0,856,1496,0.0,0.0,7.8
